Device_ID,Timestamp,Reminder_Type,Scheduled_Time,Reminder_Sent,Acknowledged,Scheduled_DateTime,Type_Appointment,Type_Exercise,Type_Hydration,Type_Medication,Hour,Day_of_Week,Time_of_Day,Is_Weekend,Adherence,Priority,Priority_Score
D1060,2025-01-28 17:28:00,Exercise,15:00:00,0,0,2025-01-28 15:00:00,False,True,False,False,15,1,Afternoon,0,,Medium,2
D1061,2025-01-28 09:49:00,Hydration,10:30:00,0,0,2025-01-28 10:30:00,False,False,True,False,10,1,Morning,0,,Medium,2
D1062,2025-01-27 09:27:00,Exercise,08:30:00,1,1,2025-01-27 08:30:00,False,True,False,False,8,0,Morning,0,1.0,Medium,2
D1063,2025-01-22 16:24:00,Medication,07:30:00,0,0,2025-01-22 07:30:00,False,False,False,True,7,2,Morning,0,,High,3
D1064,2025-01-08 13:42:00,Appointment,08:00:00,1,1,2025-01-08 08:00:00,True,False,False,False,8,2,Morning,0,1.0,High,3
D1065,2025-01-23 09:40:00,Medication,06:30:00,1,1,2025-01-23 06:30:00,False,False,False,True,6,3,Morning,0,1.0,High,3
D1066,2025-01-16 12:34:00,Exercise,18:00:00,1,1,2025-01-16 18:00:00,False,True,False,False,18,3,Evening,0,1.0,Medium,2
D1067,2025-01-03 08:17:00,Appointment,17:30:00,1,1,2025-01-03 17:30:00,True,False,False,False,17,4,Evening,0,1.0,High,3
D1068,2025-01-07 18:50:00,Exercise,21:30:00,1,1,2025-01-07 21:30:00,False,True,False,False,21,1,Evening,0,1.0,Medium,2
D1069,2025-01-27 00:35:00,Hydration,12:00:00,0,0,2025-01-27 12:00:00,False,False,True,False,12,0,Afternoon,0,,Medium,2
D1070,2025-01-04 12:52:00,Hydration,10:30:00,0,0,2025-01-04 10:30:00,False,False,True,False,10,5,Morning,1,,Medium,2
D1071,2025-01-30 01:02:00,Hydration,21:00:00,0,0,2025-01-30 21:00:00,False,False,True,False,21,3,Evening,0,,Medium,2
D1072,2025-01-10 16:48:00,Exercise,19:00:00,0,0,2025-01-10 19:00:00,False,True,False,False,19,4,Evening,0,,Medium,2
D1073,2025-01-21 10:36:00,Hydration,22:00:00,1,0,2025-01-21 22:00:00,False,False,True,False,22,1,Night,0,0.0,Medium,2
D1074,2025-01-28 09:26:00,Medication,18:00:00,1,1,2025-01-28 18:00:00,False,False,False,True,18,1,Evening,0,1.0,High,3
D1075,2025-01-14 18:56:00,Appointment,21:00:00,0,0,2025-01-14 21:00:00,True,False,False,False,21,1,Evening,0,,High,3
D1076,2025-01-25 09:03:00,Medication,22:30:00,0,0,2025-01-25 22:30:00,False,False,False,True,22,5,Night,1,,High,3
D1077,2025-01-19 08:57:00,Exercise,13:30:00,1,1,2025-01-19 13:30:00,False,True,False,False,13,6,Afternoon,1,1.0,Medium,2
D1078,2025-01-20 12:14:00,Appointment,12:30:00,0,0,2025-01-20 12:30:00,True,False,False,False,12,0,Afternoon,0,,High,3
D1079,2025-01-28 10:55:00,Medication,18:00:00,0,0,2025-01-28 18:00:00,False,False,False,True,18,1,Evening,0,,High,3
D1080,2025-01-28 15:48:00,Exercise,09:00:00,0,0,2025-01-28 09:00:00,False,True,False,False,9,1,Morning,0,,Medium,2
D1081,2025-01-29 04:23:00,Appointment,13:30:00,0,0,2025-01-29 13:30:00,True,False,False,False,13,2,Afternoon,0,,High,3
D1082,2025-01-30 22:16:00,Medication,09:00:00,1,1,2025-01-30 09:00:00,False,False,False,True,9,3,Morning,0,1.0,High,3
D1083,2025-01-19 14:58:00,Medication,10:00:00,1,1,2025-01-19 10:00:00,False,False,False,True,10,6,Morning,1,1.0,High,3
D1084,2025-01-03 21:50:00,Medication,20:00:00,0,0,2025-01-03 20:00:00,False,False,False,True,20,4,Evening,0,,High,3
D1085,2025-01-19 01:03:00,Medication,12:00:00,0,0,2025-01-19 12:00:00,False,False,False,True,12,6,Afternoon,1,,High,3
D1086,2025-01-21 01:15:00,Medication,06:30:00,0,0,2025-01-21 06:30:00,False,False,False,True,6,1,Morning,0,,High,3
D1087,2025-01-28 06:56:00,Hydration,22:30:00,0,0,2025-01-28 22:30:00,False,False,True,False,22,1,Night,0,,Medium,2
D1088,2025-01-18 16:04:00,Appointment,21:30:00,0,0,2025-01-18 21:30:00,True,False,False,False,21,5,Evening,1,,High,3
D1089,2025-01-11 22:20:00,Exercise,14:00:00,1,1,2025-01-11 14:00:00,False,True,False,False,14,5,Afternoon,1,1.0,Medium,2
D1090,2025-01-14 14:11:00,Exercise,19:00:00,0,0,2025-01-14 19:00:00,False,True,False,False,19,1,Evening,0,,Medium,2
D1091,2025-01-18 19:11:00,Exercise,15:30:00,1,1,2025-01-18 15:30:00,False,True,False,False,15,5,Afternoon,1,1.0,Medium,2
D1092,2025-01-21 10:45:00,Medication,22:30:00,1,1,2025-01-21 22:30:00,False,False,False,True,22,1,Night,0,1.0,High,3
D1093,2025-01-12 10:42:00,Exercise,14:00:00,1,1,2025-01-12 14:00:00,False,True,False,False,14,6,Afternoon,1,1.0,Medium,2
D1094,2025-01-23 22:43:00,Appointment,16:30:00,1,0,2025-01-23 16:30:00,True,False,False,False,16,3,Afternoon,0,0.0,High,3
D1095,2025-01-04 23:37:00,Medication,17:00:00,1,1,2025-01-04 17:00:00,False,False,False,True,17,5,Evening,1,1.0,High,3
D1096,2025-01-08 14:39:00,Hydration,13:30:00,0,0,2025-01-08 13:30:00,False,False,True,False,13,2,Afternoon,0,,Medium,2
D1097,2025-01-27 09:05:00,Medication,08:30:00,0,0,2025-01-27 08:30:00,False,False,False,True,8,0,Morning,0,,High,3
D1098,2025-01-26 05:38:00,Appointment,17:00:00,1,1,2025-01-26 17:00:00,True,False,False,False,17,6,Evening,1,1.0,High,3
D1099,2025-01-02 08:10:00,Appointment,15:30:00,0,0,2025-01-02 15:30:00,True,False,False,False,15,3,Afternoon,0,,High,3
D1100,2025-01-21 11:49:00,Appointment,07:30:00,1,1,2025-01-21 07:30:00,True,False,False,False,7,1,Morning,0,1.0,High,3
D1101,2025-01-21 09:39:00,Appointment,16:00:00,1,1,2025-01-21 16:00:00,True,False,False,False,16,1,Afternoon,0,1.0,High,3
D1102,2025-01-07 19:34:00,Appointment,06:00:00,0,0,2025-01-07 06:00:00,True,False,False,False,6,1,Morning,0,,High,3
D1103,2025-01-24 17:25:00,Medication,06:30:00,1,1,2025-01-24 06:30:00,False,False,False,True,6,4,Morning,0,1.0,High,3
D1104,2025-01-16 05:06:00,Appointment,20:00:00,0,0,2025-01-16 20:00:00,True,False,False,False,20,3,Evening,0,,High,3
D1105,2025-01-19 17:29:00,Appointment,13:30:00,0,0,2025-01-19 13:30:00,True,False,False,False,13,6,Afternoon,1,,High,3
D1106,2025-01-27 11:07:00,Appointment,16:30:00,0,0,2025-01-27 16:30:00,True,False,False,False,16,0,Afternoon,0,,High,3
D1107,2025-01-24 11:04:00,Appointment,14:30:00,1,1,2025-01-24 14:30:00,True,False,False,False,14,4,Afternoon,0,1.0,High,3
D1108,2025-01-03 16:59:00,Hydration,09:30:00,0,0,2025-01-03 09:30:00,False,False,True,False,9,4,Morning,0,,Medium,2
D1109,2025-01-18 14:11:00,Exercise,06:30:00,1,0,2025-01-18 06:30:00,False,True,False,False,6,5,Morning,1,0.0,Medium,2
D1110,2025-01-05 17:34:00,Medication,11:30:00,1,0,2025-01-05 11:30:00,False,False,False,True,11,6,Morning,1,0.0,High,3
D1111,2025-01-30 11:51:00,Medication,15:30:00,0,0,2025-01-30 15:30:00,False,False,False,True,15,3,Afternoon,0,,High,3
D1112,2025-01-30 00:52:00,Appointment,09:00:00,0,0,2025-01-30 09:00:00,True,False,False,False,9,3,Morning,0,,High,3
D1113,2025-01-21 18:02:00,Appointment,11:30:00,0,0,2025-01-21 11:30:00,True,False,False,False,11,1,Morning,0,,High,3
D1114,2025-01-18 06:40:00,Hydration,16:30:00,1,1,2025-01-18 16:30:00,False,False,True,False,16,5,Afternoon,1,1.0,Medium,2
D1115,2025-01-15 03:42:00,Medication,13:30:00,1,1,2025-01-15 13:30:00,False,False,False,True,13,2,Afternoon,0,1.0,High,3
D1116,2025-01-22 23:43:00,Hydration,21:00:00,1,1,2025-01-22 21:00:00,False,False,True,False,21,2,Evening,0,1.0,Medium,2
D1117,2025-01-14 10:43:00,Exercise,17:00:00,0,0,2025-01-14 17:00:00,False,True,False,False,17,1,Evening,0,,Medium,2
D1118,2025-01-21 17:37:00,Hydration,07:00:00,1,1,2025-01-21 07:00:00,False,False,True,False,7,1,Morning,0,1.0,Medium,2
D1119,2025-01-25 07:47:00,Exercise,15:30:00,1,1,2025-01-25 15:30:00,False,True,False,False,15,5,Afternoon,1,1.0,Medium,2
D1120,2025-01-21 20:25:00,Exercise,07:30:00,1,1,2025-01-21 07:30:00,False,True,False,False,7,1,Morning,0,1.0,Medium,2
D1121,2025-01-12 17:07:00,Hydration,06:00:00,0,0,2025-01-12 06:00:00,False,False,True,False,6,6,Morning,1,,Medium,2
D1122,2025-01-03 00:06:00,Exercise,18:30:00,0,0,2025-01-03 18:30:00,False,True,False,False,18,4,Evening,0,,Medium,2
D1123,2025-01-14 05:56:00,Appointment,13:00:00,0,0,2025-01-14 13:00:00,True,False,False,False,13,1,Afternoon,0,,High,3
D1124,2025-01-12 20:35:00,Exercise,09:30:00,0,0,2025-01-12 09:30:00,False,True,False,False,9,6,Morning,1,,Medium,2
D1125,2025-01-25 21:37:00,Hydration,11:30:00,1,1,2025-01-25 11:30:00,False,False,True,False,11,5,Morning,1,1.0,Medium,2
D1126,2025-01-27 16:45:00,Appointment,14:30:00,0,0,2025-01-27 14:30:00,True,False,False,False,14,0,Afternoon,0,,High,3
D1127,2025-01-14 05:46:00,Appointment,12:30:00,1,1,2025-01-14 12:30:00,True,False,False,False,12,1,Afternoon,0,1.0,High,3
D1128,2025-01-27 05:53:00,Medication,06:30:00,1,0,2025-01-27 06:30:00,False,False,False,True,6,0,Morning,0,0.0,High,3
D1129,2025-01-23 20:51:00,Hydration,06:30:00,1,1,2025-01-23 06:30:00,False,False,True,False,6,3,Morning,0,1.0,Medium,2
D1130,2025-01-27 13:22:00,Appointment,15:30:00,1,1,2025-01-27 15:30:00,True,False,False,False,15,0,Afternoon,0,1.0,High,3
D1131,2025-01-07 18:54:00,Medication,11:30:00,1,1,2025-01-07 11:30:00,False,False,False,True,11,1,Morning,0,1.0,High,3
D1132,2025-01-18 03:04:00,Medication,08:00:00,0,0,2025-01-18 08:00:00,False,False,False,True,8,5,Morning,1,,High,3
D1133,2025-01-01 16:53:00,Hydration,14:30:00,1,1,2025-01-01 14:30:00,False,False,True,False,14,2,Afternoon,0,1.0,Medium,2
D1134,2025-01-03 10:15:00,Medication,13:30:00,1,1,2025-01-03 13:30:00,False,False,False,True,13,4,Afternoon,0,1.0,High,3
D1135,2025-01-04 06:20:00,Appointment,15:00:00,1,1,2025-01-04 15:00:00,True,False,False,False,15,5,Afternoon,1,1.0,High,3
D1136,2025-01-08 20:05:00,Medication,07:30:00,0,0,2025-01-08 07:30:00,False,False,False,True,7,2,Morning,0,,High,3
D1137,2025-01-01 00:57:00,Exercise,18:30:00,0,0,2025-01-01 18:30:00,False,True,False,False,18,2,Evening,0,,Medium,2
D1138,2025-01-19 13:49:00,Hydration,22:30:00,0,0,2025-01-19 22:30:00,False,False,True,False,22,6,Night,1,,Medium,2
D1139,2025-01-17 10:01:00,Exercise,07:30:00,1,1,2025-01-17 07:30:00,False,True,False,False,7,4,Morning,0,1.0,Medium,2
D1140,2025-01-11 14:32:00,Exercise,17:30:00,0,0,2025-01-11 17:30:00,False,True,False,False,17,5,Evening,1,,Medium,2
D1141,2025-01-04 23:31:00,Exercise,16:00:00,1,0,2025-01-04 16:00:00,False,True,False,False,16,5,Afternoon,1,0.0,Medium,2
D1142,2025-01-25 10:48:00,Medication,19:00:00,1,1,2025-01-25 19:00:00,False,False,False,True,19,5,Evening,1,1.0,High,3
D1143,2025-01-11 10:33:00,Medication,11:30:00,1,1,2025-01-11 11:30:00,False,False,False,True,11,5,Morning,1,1.0,High,3
D1144,2025-01-28 19:18:00,Appointment,08:00:00,1,1,2025-01-28 08:00:00,True,False,False,False,8,1,Morning,0,1.0,High,3
D1145,2025-01-06 08:32:00,Appointment,10:00:00,0,0,2025-01-06 10:00:00,True,False,False,False,10,0,Morning,0,,High,3
D1146,2025-01-16 10:33:00,Hydration,07:00:00,0,0,2025-01-16 07:00:00,False,False,True,False,7,3,Morning,0,,Medium,2
D1147,2025-01-13 23:41:00,Exercise,08:30:00,1,1,2025-01-13 08:30:00,False,True,False,False,8,0,Morning,0,1.0,Medium,2
D1148,2025-01-20 01:51:00,Hydration,12:30:00,0,0,2025-01-20 12:30:00,False,False,True,False,12,0,Afternoon,0,,Medium,2
D1149,2025-01-25 12:31:00,Medication,19:00:00,0,0,2025-01-25 19:00:00,False,False,False,True,19,5,Evening,1,,High,3
D1150,2025-01-13 15:27:00,Medication,14:30:00,0,0,2025-01-13 14:30:00,False,False,False,True,14,0,Afternoon,0,,High,3
D1151,2025-01-21 02:30:00,Exercise,15:30:00,0,0,2025-01-21 15:30:00,False,True,False,False,15,1,Afternoon,0,,Medium,2
D1152,2025-01-27 10:44:00,Appointment,13:30:00,0,0,2025-01-27 13:30:00,True,False,False,False,13,0,Afternoon,0,,High,3
D1153,2025-01-22 23:11:00,Medication,19:00:00,0,0,2025-01-22 19:00:00,False,False,False,True,19,2,Evening,0,,High,3
D1154,2025-01-14 04:34:00,Exercise,21:00:00,1,1,2025-01-14 21:00:00,False,True,False,False,21,1,Evening,0,1.0,Medium,2
D1155,2025-01-13 06:30:00,Medication,09:00:00,1,1,2025-01-13 09:00:00,False,False,False,True,9,0,Morning,0,1.0,High,3
D1156,2025-01-13 07:51:00,Medication,12:30:00,1,1,2025-01-13 12:30:00,False,False,False,True,12,0,Afternoon,0,1.0,High,3
D1157,2025-01-06 23:02:00,Medication,07:30:00,1,1,2025-01-06 07:30:00,False,False,False,True,7,0,Morning,0,1.0,High,3
D1158,2025-01-13 10:47:00,Medication,20:30:00,0,0,2025-01-13 20:30:00,False,False,False,True,20,0,Evening,0,,High,3
D1159,2025-01-01 14:40:00,Hydration,17:00:00,0,0,2025-01-01 17:00:00,False,False,True,False,17,2,Evening,0,,Medium,2
D1160,2025-01-21 21:44:00,Appointment,12:30:00,1,1,2025-01-21 12:30:00,True,False,False,False,12,1,Afternoon,0,1.0,High,3
D1161,2025-01-20 00:21:00,Exercise,16:00:00,1,0,2025-01-20 16:00:00,False,True,False,False,16,0,Afternoon,0,0.0,Medium,2
D1162,2025-01-26 10:44:00,Hydration,15:30:00,1,1,2025-01-26 15:30:00,False,False,True,False,15,6,Afternoon,1,1.0,Medium,2
D1163,2025-01-01 03:48:00,Hydration,15:30:00,0,0,2025-01-01 15:30:00,False,False,True,False,15,2,Afternoon,0,,Medium,2
D1164,2025-01-16 19:59:00,Exercise,20:00:00,0,0,2025-01-16 20:00:00,False,True,False,False,20,3,Evening,0,,Medium,2
D1165,2025-01-24 20:08:00,Exercise,15:00:00,1,1,2025-01-24 15:00:00,False,True,False,False,15,4,Afternoon,0,1.0,Medium,2
D1166,2025-01-20 04:12:00,Appointment,17:30:00,0,0,2025-01-20 17:30:00,True,False,False,False,17,0,Evening,0,,High,3
D1167,2025-01-16 05:15:00,Exercise,14:00:00,1,1,2025-01-16 14:00:00,False,True,False,False,14,3,Afternoon,0,1.0,Medium,2
D1168,2025-01-18 05:29:00,Hydration,20:00:00,1,1,2025-01-18 20:00:00,False,False,True,False,20,5,Evening,1,1.0,Medium,2
D1169,2025-01-26 12:18:00,Medication,22:30:00,1,0,2025-01-26 22:30:00,False,False,False,True,22,6,Night,1,0.0,High,3
D1170,2025-01-19 19:51:00,Appointment,21:30:00,1,1,2025-01-19 21:30:00,True,False,False,False,21,6,Evening,1,1.0,High,3
D1171,2025-01-19 23:24:00,Hydration,15:00:00,0,0,2025-01-19 15:00:00,False,False,True,False,15,6,Afternoon,1,,Medium,2
D1172,2025-01-29 08:35:00,Appointment,14:00:00,0,0,2025-01-29 14:00:00,True,False,False,False,14,2,Afternoon,0,,High,3
D1173,2025-01-22 09:30:00,Medication,14:00:00,1,1,2025-01-22 14:00:00,False,False,False,True,14,2,Afternoon,0,1.0,High,3
D1174,2025-01-15 22:39:00,Exercise,19:00:00,0,0,2025-01-15 19:00:00,False,True,False,False,19,2,Evening,0,,Medium,2
D1175,2025-01-24 16:12:00,Exercise,06:00:00,1,0,2025-01-24 06:00:00,False,True,False,False,6,4,Morning,0,0.0,Medium,2
D1176,2025-01-30 15:02:00,Appointment,08:30:00,1,0,2025-01-30 08:30:00,True,False,False,False,8,3,Morning,0,0.0,High,3
D1177,2025-01-24 01:27:00,Medication,06:30:00,0,0,2025-01-24 06:30:00,False,False,False,True,6,4,Morning,0,,High,3
D1178,2025-01-18 03:37:00,Exercise,16:00:00,1,1,2025-01-18 16:00:00,False,True,False,False,16,5,Afternoon,1,1.0,Medium,2
D1179,2025-01-22 21:26:00,Hydration,21:00:00,0,0,2025-01-22 21:00:00,False,False,True,False,21,2,Evening,0,,Medium,2
D1180,2025-01-07 20:19:00,Exercise,11:00:00,1,1,2025-01-07 11:00:00,False,True,False,False,11,1,Morning,0,1.0,Medium,2
D1181,2025-01-10 10:19:00,Exercise,13:00:00,1,1,2025-01-10 13:00:00,False,True,False,False,13,4,Afternoon,0,1.0,Medium,2
D1182,2025-01-24 12:12:00,Appointment,09:00:00,0,0,2025-01-24 09:00:00,True,False,False,False,9,4,Morning,0,,High,3
D1183,2025-01-07 02:26:00,Medication,17:30:00,1,1,2025-01-07 17:30:00,False,False,False,True,17,1,Evening,0,1.0,High,3
D1184,2025-01-30 06:13:00,Hydration,11:30:00,0,0,2025-01-30 11:30:00,False,False,True,False,11,3,Morning,0,,Medium,2
D1185,2025-01-20 17:52:00,Appointment,21:00:00,1,0,2025-01-20 21:00:00,True,False,False,False,21,0,Evening,0,0.0,High,3
D1186,2025-01-07 07:01:00,Exercise,13:30:00,0,0,2025-01-07 13:30:00,False,True,False,False,13,1,Afternoon,0,,Medium,2
D1187,2025-01-30 12:21:00,Medication,15:00:00,0,0,2025-01-30 15:00:00,False,False,False,True,15,3,Afternoon,0,,High,3
D1188,2025-01-03 19:13:00,Hydration,14:00:00,1,0,2025-01-03 14:00:00,False,False,True,False,14,4,Afternoon,0,0.0,Medium,2
D1189,2025-01-13 12:48:00,Appointment,13:00:00,1,1,2025-01-13 13:00:00,True,False,False,False,13,0,Afternoon,0,1.0,High,3
D1190,2025-01-19 13:18:00,Medication,17:30:00,0,0,2025-01-19 17:30:00,False,False,False,True,17,6,Evening,1,,High,3
D1191,2025-01-06 13:07:00,Exercise,14:30:00,0,0,2025-01-06 14:30:00,False,True,False,False,14,0,Afternoon,0,,Medium,2
D1192,2025-01-12 12:05:00,Appointment,07:30:00,1,1,2025-01-12 07:30:00,True,False,False,False,7,6,Morning,1,1.0,High,3
D1193,2025-01-21 05:08:00,Hydration,14:00:00,0,0,2025-01-21 14:00:00,False,False,True,False,14,1,Afternoon,0,,Medium,2
