Device_ID,Timestamp,Movement_Activity,Fall_Detected,Impact_Force,Inactivity_Duration,Location,Alert_Triggered,Caregiver_Notified,Unnamed: 9,Movement_Lying,Movement_No Movement,Movement_Sitting,Movement_Walking,Location_Bathroom,Location_Bedroom,Location_Kitchen,Location_Living Room,Inactivity_Duration_normalized,Risk_Score,Hour,Day,Is_Night
D1018,2025-01-06 08:18:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,8,6,False
D1019,2025-01-11 21:01:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,21,11,False
D1020,2025-01-01 16:18:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,16,1,False
D1021,2025-01-20 17:34:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,17,20,False
D1022,2025-01-19 19:46:00,No Movement,1,0.0,463,Bathroom,1,1,,False,True,False,False,True,False,False,False,0.7729549248747913,6.545909849749583,19,19,False
D1023,2025-01-01 20:45:00,Lying,0,0.0,0,Kitchen,0,0,,True,False,False,False,False,False,True,False,0.0,0.0,20,1,False
D1024,2025-01-04 07:30:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,7,4,False
D1025,2025-01-02 02:26:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,2,2,True
D1026,2025-01-21 17:02:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,17,21,False
D1027,2025-01-21 02:22:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,2,21,True
D1028,2025-01-03 22:44:00,No Movement,1,0.0,94,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.15692821368948248,5.313856427378965,22,3,True
D1029,2025-01-18 11:56:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,11,18,False
D1030,2025-01-09 16:43:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,16,9,False
D1031,2025-01-05 20:19:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,20,5,False
D1032,2025-01-15 12:59:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,12,15,False
D1033,2025-01-17 15:23:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,15,17,False
D1034,2025-01-17 14:42:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,14,17,False
D1035,2025-01-05 18:31:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,18,5,False
D1036,2025-01-10 13:30:00,Lying,0,0.0,0,Kitchen,0,0,,True,False,False,False,False,False,True,False,0.0,0.0,13,10,False
D1037,2025-01-17 04:41:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,4,17,True
D1038,2025-01-27 03:36:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,3,27,True
D1039,2025-01-23 01:16:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,1,23,True
D1040,2025-01-08 23:38:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,23,8,True
D1041,2025-01-25 19:25:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,19,25,False
D1042,2025-01-16 18:26:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,18,16,False
D1043,2025-01-25 03:44:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,3,25,True
D1044,2025-01-22 05:05:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,5,22,True
D1045,2025-01-14 21:59:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,21,14,False
D1046,2025-01-12 17:48:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,17,12,False
D1047,2025-01-21 03:30:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,3,21,True
D1048,2025-01-27 07:40:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,7,27,False
D1049,2025-01-06 20:10:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,20,6,False
D1050,2025-01-11 23:40:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,23,11,True
D1051,2025-01-17 07:51:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,7,17,False
D1052,2025-01-27 11:01:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,11,27,False
D1053,2025-01-14 17:59:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,17,14,False
D1054,2025-01-14 07:06:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,7,14,False
D1055,2025-01-24 13:42:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,13,24,False
D1056,2025-01-01 20:51:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,20,1,False
D1057,2025-01-03 06:08:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,6,3,False
D1058,2025-01-15 18:37:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,18,15,False
D1059,2025-01-30 12:43:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,12,30,False
D1060,2025-01-08 06:36:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,6,8,False
D1061,2025-01-09 12:41:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,12,9,False
D1062,2025-01-25 03:28:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,3,25,True
D1063,2025-01-01 15:32:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,15,1,False
D1064,2025-01-08 03:42:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,3,8,True
D1065,2025-01-27 20:06:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,20,27,False
D1066,2025-01-29 11:42:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,11,29,False
D1067,2025-01-28 22:37:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,22,28,True
D1068,2025-01-12 14:45:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,14,12,False
D1069,2025-01-24 08:43:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,8,24,False
D1070,2025-01-21 12:11:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,12,21,False
D1071,2025-01-12 17:01:00,No Movement,1,0.0,306,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.5108514190317196,6.0217028380634385,17,12,False
D1072,2025-01-06 21:53:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,21,6,False
D1073,2025-01-25 06:20:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,6,25,False
D1074,2025-01-16 16:02:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,16,16,False
D1075,2025-01-01 19:36:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,19,1,False
D1076,2025-01-27 21:59:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,21,27,False
D1077,2025-01-11 22:03:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,22,11,True
D1078,2025-01-07 18:58:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,18,7,False
D1079,2025-01-04 05:21:00,No Movement,1,0.0,466,Kitchen,1,1,,False,True,False,False,False,False,True,False,0.7779632721202003,6.555926544240401,5,4,True
D1080,2025-01-06 14:47:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,14,6,False
D1081,2025-01-21 22:22:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,22,21,True
D1082,2025-01-05 02:43:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,2,5,True
D1083,2025-01-26 01:08:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,1,26,True
D1084,2025-01-12 20:30:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,20,12,False
D1085,2025-01-19 10:28:00,Lying,0,0.0,0,Kitchen,0,0,,True,False,False,False,False,False,True,False,0.0,0.0,10,19,False
D1086,2025-01-05 10:48:00,Lying,0,0.0,0,Kitchen,0,0,,True,False,False,False,False,False,True,False,0.0,0.0,10,5,False
D1087,2025-01-10 07:07:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,7,10,False
D1088,2025-01-25 11:46:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,11,25,False
D1089,2025-01-29 07:59:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,7,29,False
D1090,2025-01-03 16:09:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,16,3,False
D1091,2025-01-04 10:48:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,10,4,False
D1092,2025-01-08 00:19:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,0,8,True
D1093,2025-01-27 08:03:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,8,27,False
D1094,2025-01-27 18:22:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,18,27,False
D1095,2025-01-28 03:52:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,3,28,True
D1096,2025-01-04 10:43:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,10,4,False
D1097,2025-01-19 16:33:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,16,19,False
D1098,2025-01-23 12:55:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,12,23,False
D1099,2025-01-17 21:33:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,21,17,False
D1100,2025-01-10 06:07:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,6,10,False
D1101,2025-01-16 20:48:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,20,16,False
D1102,2025-01-21 04:34:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,4,21,True
D1103,2025-01-08 19:23:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,19,8,False
D1104,2025-01-18 03:08:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,3,18,True
D1105,2025-01-27 18:38:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,18,27,False
D1106,2025-01-25 04:13:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,4,25,True
D1107,2025-01-13 17:59:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,17,13,False
D1108,2025-01-04 05:26:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,5,4,True
D1109,2025-01-09 00:44:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,0,9,True
D1110,2025-01-11 10:57:00,Lying,0,0.0,0,Kitchen,0,0,,True,False,False,False,False,False,True,False,0.0,0.0,10,11,False
D1111,2025-01-17 10:16:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,10,17,False
D1112,2025-01-30 10:23:00,No Movement,1,0.0,456,Bathroom,1,1,,False,True,False,False,True,False,False,False,0.7612687813021703,6.522537562604341,10,30,False
D1113,2025-01-22 09:19:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,9,22,False
D1114,2025-01-23 13:08:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,13,23,False
D1115,2025-01-25 08:04:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,8,25,False
D1116,2025-01-18 06:59:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,6,18,False
D1117,2025-01-01 03:20:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,3,1,True
D1118,2025-01-15 05:49:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,5,15,True
D1119,2025-01-27 03:47:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,3,27,True
D1120,2025-01-21 07:17:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,7,21,False
D1121,2025-01-27 00:54:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,0,27,True
D1122,2025-01-26 09:56:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,9,26,False
D1123,2025-01-29 00:21:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,0,29,True
D1124,2025-01-18 16:29:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,16,18,False
D1125,2025-01-30 21:25:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,21,30,False
D1126,2025-01-20 23:47:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,23,20,True
D1127,2025-01-08 23:32:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,23,8,True
D1128,2025-01-12 13:44:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,13,12,False
D1129,2025-01-30 16:07:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,16,30,False
D1130,2025-01-20 03:20:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,3,20,True
D1131,2025-01-21 02:32:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,2,21,True
D1132,2025-01-09 19:04:00,No Movement,1,0.0,286,Bedroom,1,1,,False,True,False,False,False,True,False,False,0.47746243739565947,5.954924874791319,19,9,False
D1133,2025-01-27 04:41:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,4,27,True
D1134,2025-01-04 03:06:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,3,4,True
D1135,2025-01-17 02:26:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,2,17,True
D1136,2025-01-10 01:14:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,1,10,True
D1137,2025-01-05 11:33:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,11,5,False
D1138,2025-01-20 09:04:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,9,20,False
D1139,2025-01-15 04:05:00,Sitting,0,0.0,0,Kitchen,0,0,,False,False,True,False,False,False,True,False,0.0,0.0,4,15,True
D1140,2025-01-21 15:36:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,15,21,False
D1141,2025-01-18 11:18:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,11,18,False
D1142,2025-01-13 07:47:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,7,13,False
D1143,2025-01-12 17:41:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,17,12,False
D1144,2025-01-21 08:01:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,8,21,False
D1145,2025-01-01 11:10:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,11,1,False
D1146,2025-01-11 08:31:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,8,11,False
D1147,2025-01-09 00:36:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,0,9,True
D1148,2025-01-19 15:49:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,15,19,False
D1149,2025-01-03 15:59:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,15,3,False
D1150,2025-01-15 13:09:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,13,15,False
D1151,2025-01-29 22:35:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,22,29,True
D1152,2025-01-20 09:37:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,9,20,False
D1153,2025-01-10 08:43:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,8,10,False
D1154,2025-01-19 05:24:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,5,19,True
D1155,2025-01-18 21:28:00,No Movement,1,0.0,71,Living Room,1,1,,False,True,False,False,False,False,False,True,0.11853088480801335,5.237061769616027,21,18,False
D1156,2025-01-19 22:52:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,22,19,True
D1157,2025-01-17 17:33:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,17,17,False
D1158,2025-01-15 05:46:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,5,15,True
D1159,2025-01-04 23:09:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,23,4,True
D1160,2025-01-12 17:32:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,17,12,False
D1161,2025-01-04 15:50:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,15,4,False
D1162,2025-01-12 22:48:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,22,12,True
D1163,2025-01-26 05:11:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,5,26,True
D1164,2025-01-02 02:50:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,2,2,True
D1165,2025-01-07 05:56:00,No Movement,1,0.0,85,Kitchen,1,1,,False,True,False,False,False,False,True,False,0.14190317195325544,5.283806343906511,5,7,True
D1166,2025-01-17 19:47:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,19,17,False
D1167,2025-01-13 12:26:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,12,13,False
D1168,2025-01-13 00:58:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,0,13,True
D1169,2025-01-10 23:50:00,Walking,0,0.0,0,Kitchen,0,0,,False,False,False,True,False,False,True,False,0.0,0.0,23,10,True
D1170,2025-01-22 02:29:00,No Movement,0,0.0,0,Kitchen,0,0,,False,True,False,False,False,False,True,False,0.0,0.0,2,22,True
D1171,2025-01-19 18:48:00,No Movement,0,0.0,0,Living Room,0,0,,False,True,False,False,False,False,False,True,0.0,0.0,18,19,False
D1172,2025-01-27 04:18:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,4,27,True
D1173,2025-01-28 17:39:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,17,28,False
D1174,2025-01-28 08:29:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,8,28,False
D1175,2025-01-04 12:33:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,12,4,False
D1176,2025-01-12 06:29:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,6,12,False
D1177,2025-01-05 13:52:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,13,5,False
D1178,2025-01-13 08:09:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,8,13,False
D1179,2025-01-06 08:02:00,Lying,0,0.0,0,Living Room,0,0,,True,False,False,False,False,False,False,True,0.0,0.0,8,6,False
D1180,2025-01-21 15:29:00,Sitting,0,0.0,0,Bedroom,0,0,,False,False,True,False,False,True,False,False,0.0,0.0,15,21,False
D1181,2025-01-18 09:34:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,9,18,False
D1182,2025-01-01 04:22:00,No Movement,0,0.0,0,Bedroom,0,0,,False,True,False,False,False,True,False,False,0.0,0.0,4,1,True
D1183,2025-01-01 18:33:00,Lying,0,0.0,0,Bedroom,0,0,,True,False,False,False,False,True,False,False,0.0,0.0,18,1,False
D1184,2025-01-02 04:41:00,Walking,0,0.0,0,Living Room,0,0,,False,False,False,True,False,False,False,True,0.0,0.0,4,2,True
D1185,2025-01-12 14:56:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,14,12,False
D1186,2025-01-17 17:19:00,Walking,0,0.0,0,Bathroom,0,0,,False,False,False,True,True,False,False,False,0.0,0.0,17,17,False
D1187,2025-01-21 10:37:00,Walking,0,0.0,0,Bedroom,0,0,,False,False,False,True,False,True,False,False,0.0,0.0,10,21,False
D1188,2025-01-25 17:52:00,Lying,0,0.0,0,Bathroom,0,0,,True,False,False,False,True,False,False,False,0.0,0.0,17,25,False
D1189,2025-01-09 01:58:00,Sitting,0,0.0,0,Living Room,0,0,,False,False,True,False,False,False,False,True,0.0,0.0,1,9,True
D1190,2025-01-09 06:17:00,No Movement,0,0.0,0,Bathroom,0,0,,False,True,False,False,True,False,False,False,0.0,0.0,6,9,False
D1191,2025-01-29 20:54:00,Sitting,0,0.0,0,Bathroom,0,0,,False,False,True,False,True,False,False,False,0.0,0.0,20,29,False
D1192,2025-01-10 16:30:00,No Movement,1,0.0,360,Bathroom,1,1,,False,True,False,False,True,False,False,False,0.6010016694490818,6.202003338898164,16,10,False
